weights: 69782 ocean src pts -> 16020 tgt pts (3821 land/NaN)
wrote tos_2deg_historical_r1i1p1f1.nc {'time': 1980, 'lat': 89, 'lon': 180}
wrote tos_2deg_historical_r2i1p1f1.nc {'time': 1980, 'lat': 89, 'lon': 180}
wrote tos_2deg_historical_r3i1p1f1.nc {'time': 1980, 'lat': 89, 'lon': 180}
wrote tos_2deg_historical_r4i1p1f1.nc {'time': 1980, 'lat': 89, 'lon': 180}
wrote tos_2deg_historical_r5i1p1f1.nc {'time': 1980, 'lat': 89, 'lon': 180}
wrote tos_2deg_ssp245_r1i1p1f1.nc {'time': 1032, 'lat': 89, 'lon': 180}
wrote tos_2deg_ssp245_r2i1p1f1.nc {'time': 1032, 'lat': 89, 'lon': 180}
wrote tos_2deg_ssp245_r3i1p1f1.nc {'time': 1032, 'lat': 89, 'lon': 180}
wrote tos_2deg_ssp245_r4i1p1f1.nc {'time': 1032, 'lat': 89, 'lon': 180}
wrote tos_2deg_ssp245_r5i1p1f1.nc {'time': 1032, 'lat': 89, 'lon': 180}
wrote tos_2deg_ssp585_r1i1p1f1.nc {'time': 1032, 'lat': 89, 'lon': 180}
wrote tos_2deg_ssp585_r2i1p1f1.nc {'time': 1032, 'lat': 89, 'lon': 180}
wrote tos_2deg_ssp585_r3i1p1f1.nc {'time': 1032, 'lat': 89, 'lon': 180}
wrote tos_2deg_ssp585_r4i1p1f1.nc {'time': 1032, 'lat': 89, 'lon': 180}
wrote tos_2deg_ssp585_r5i1p1f1.nc {'time': 1032, 'lat': 89, 'lon': 180}
REGRID_EXIT=0
