dataset,phase,min_gpm,max_gpm,missing_values,source_contour_segments,status,field_west,field_east,field_south,field_north,old_clipped_length_degrees,old_visible_length_degrees,old_frame_crossings,new_clipped_length_degrees,new_visible_length_degrees,new_frame_crossings
historical_common_r1,pos,5555.2823401162805,5868.574763808138,0,0,below_threshold,89.0625,201.5625,-1.875,51.875,0.0,0.0,0,0.0,0.0,0
historical_common_r1,neg,5570.653971354166,5874.9727213541655,0,1,contour_present,89.0625,201.5625,-1.875,51.875,0.0,65.85205625326151,0,0.0,65.85205625326151,0
historical_common_r2,pos,5567.05872078252,5866.0318851626025,0,0,below_threshold,89.0625,201.5625,-1.875,51.875,0.0,0.0,0,0.0,0.0,0
historical_common_r2,neg,5576.43495501894,5874.679509943183,0,1,contour_present,89.0625,201.5625,-1.875,51.875,0.0,67.00962254559944,0,0.0,67.00962254559944,0
historical_common_r5,pos,5571.060953776041,5876.867919921875,0,1,contour_present,89.0625,201.5625,-1.875,51.875,0.0,79.80530958735835,0,0.0,79.80530958735835,0
historical_common_r5,neg,5577.564726142473,5868.585055443548,0,0,below_threshold,89.0625,201.5625,-1.875,51.875,0.0,0.0,0,0.0,0.0,0
historical_member_mean,pos,5562.43965832901,5868.987923681853,0,0,below_threshold,89.0625,201.5625,-1.875,51.875,0.0,0.0,0,0.0,0.0,0
historical_member_mean,neg,5568.841201520873,5869.297964790448,0,0,below_threshold,89.0625,201.5625,-1.875,51.875,0.0,0.0,0,0.0,0.0,0
historical_r1,pos,5556.826528897847,5867.641885080645,0,0,below_threshold,89.0625,201.5625,-1.875,51.875,0.0,0.0,0,0.0,0.0,0
historical_r1,neg,5563.650578703704,5869.428935185185,0,0,below_threshold,89.0625,201.5625,-1.875,51.875,0.0,0.0,0,0.0,0.0,0
historical_r2,pos,5565.5823739035095,5865.163240131578,0,0,below_threshold,89.0625,201.5625,-1.875,51.875,0.0,0.0,0,0.0,0.0,0
historical_r2,neg,5569.159609375,5869.612447916667,0,0,below_threshold,89.0625,201.5625,-1.875,51.875,0.0,0.0,0,0.0,0.0,0
historical_r5,pos,5564.618177083333,5874.300833333334,0,1,contour_present,89.0625,201.5625,-1.875,51.875,0.0,61.21616938462287,0,0.0,61.21616938462287,0
historical_r5,neg,5573.320015533626,5869.200063961987,0,0,below_threshold,89.0625,201.5625,-1.875,51.875,0.0,0.0,0,0.0,0.0,0
obs,pos,5638.804452401621,5885.818467881943,0,1,contour_present,90.0,200.0,0.0,50.0,40.19150376117922,116.91124275364868,2,0.0,157.1027465148279,2
obs,neg,5630.398817274307,5882.296242042824,0,1,contour_present,90.0,200.0,0.0,50.0,40.123754511067474,98.46557159130344,2,0.0,138.58932610237093,2
ssp245_member_mean,pos,5653.738082664186,5926.940641742663,0,1,contour_present,89.0625,201.5625,-1.875,51.875,33.25110247249859,81.3546418986811,2,2.511528352564538,112.09421601861511,2
ssp245_member_mean,neg,5650.769799399523,5923.631871653728,0,1,contour_present,89.0625,201.5625,-1.875,51.875,33.529087565903495,81.03752829895589,2,2.5120228191266163,112.05459304573279,2
ssp245_r1,pos,5650.898745888157,5922.985300164472,0,1,contour_present,89.0625,201.5625,-1.875,51.875,39.457442868259946,80.70005275701409,2,2.5057058541066253,117.65178977116742,2
ssp245_r1,neg,5649.323925781249,5923.6291666666675,0,2,contour_present,89.0625,201.5625,-1.875,51.875,34.394918797760795,80.87098455481389,2,3.2041714784135986,112.06173187416108,2
ssp245_r2,pos,5648.573138973577,5925.402184959351,0,1,contour_present,89.0625,201.5625,-1.875,51.875,33.2392963919478,81.315738782848,2,2.5120753796416087,112.04295979515419,2
ssp245_r2,neg,5645.2297649211705,5920.985888231981,0,2,contour_present,89.0625,201.5625,-1.875,51.875,41.829036430346925,80.83112459976098,2,4.614153204107295,118.04600782600059,4
ssp245_r5,pos,5661.213834635416,5932.434440104166,0,1,contour_present,89.0625,201.5625,-1.875,51.875,32.95740855668678,81.66905331641598,2,2.5151607949817683,112.11130107812099,2
ssp245_r5,neg,5657.705489309211,5926.3080797697385,0,1,contour_present,89.0625,201.5625,-1.875,51.875,33.178615106421596,81.35239624495314,2,2.5087875870057186,112.02222376436903,2
ssp585_member_mean,pos,5670.6503665123455,5942.642843364197,0,1,contour_present,89.0625,201.5625,-1.875,51.875,32.80555540419538,81.53365508986347,2,2.5103574785436615,111.82885301551515,2
ssp585_member_mean,neg,5675.68867302583,5945.967866326021,0,1,contour_present,89.0625,201.5625,-1.875,51.875,33.39095161895786,80.87036318550689,2,2.5102785015115163,111.75103630295321,2
ssp585_r1,pos,5668.336631944444,5939.41462673611,0,1,contour_present,89.0625,201.5625,-1.875,51.875,32.83029827177515,81.72420240044131,2,2.5118465910551784,112.04265408116132,2
ssp585_r1,neg,5663.47794596354,5943.78851996528,0,1,contour_present,89.0625,201.5625,-1.875,51.875,32.80916692038413,81.57786539448243,2,2.5141841044468567,111.87284821041968,2
ssp585_r2,pos,5666.13125,5937.40587384259,0,1,contour_present,89.0625,201.5625,-1.875,51.875,32.85959597067495,81.48470899761959,2,2.5113163464785155,111.83298862181606,2
ssp585_r2,neg,5676.893031881312,5950.846393623738,0,1,contour_present,89.0625,201.5625,-1.875,51.875,35.180046229825344,79.12543625254402,2,2.514074645363218,111.79140783700615,2
